Gene_ID
AT5g22920
AT1g78370
AT3g28220
AT5g11070
AT1g23205
AT1g68010
AT2g26740
AT3g61470
AT4g28750
AT5g24210
AT1g71030
AT3g54050
AT3g54890
AT1g72610
AT3g08940
AT5g62280
AT2g18700
AT3g45780
AT5g18670
AT1g28330
AT1g68570
AT2g30950
AT3g62410
AT4g33660
AT5g35170
AT3g16250
AT1g09340
AT3g63140
AT1g76080
AT3g46780
AT1g02640
AT2g33830
AT3g47340
AT5g35630
AT1g29910
AT1g69870
AT2g47930
AT4g02530
AT4g38840
AT5g43750
AT3g50820
AT1g13930
AT4g37610
AT1g76100
AT3g61260
AT1g08380
AT2g38210
AT4g04640
AT5g38990
