Gene_ID
AT1g29920
AT1g74730
AT3g05730
AT4g02770
AT4g39710
AT5g48300
AT5g48490
AT1g20440
AT5g02160
AT2g05540
AT3g62550
AT1g14280
AT2g43100
AT4g09010
AT5g49360
AT1g30380
AT1g78460
AT3g16140
AT4g12310
AT5g01530
AT5g58260
